date,day_name,city,movie_title,cinema_name,time,format,language,event_type,scraped_at
2026-04-25,sobota,warszawa,2046,Kinoteka w Warszawie,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,3-2-1 Start!,Planetarium Centrum Nauki Kopernik w Warszawie,11:30,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Angel’s Egg,Kino Muranów w Warszawie,22:15,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Arkadia,11:50,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Arkadia,14:00,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Bemowo,12:00,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Bemowo,14:10,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Galeria Mokotów,10:00,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Galeria Mokotów,11:50,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Galeria Północna,12:40,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Promenada,10:50,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Cinema City Warszawa Sadyba,12:10,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Helios Warszawa Blue City,12:20,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Kino Luna w Warszawie,16:15,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Kinokawiarnia Stacja Falenica w Warszawie,16:00,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Multikino Atrium Reduta w Warszawie,10:15,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Multikino Młociny,12:35,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Multikino Wola,10:20,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Arco (dubbing),Multikino Złote Tarasy,10:20,,dubbing,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Baw się dobrze i przeżyj,Cinema City Warszawa Sadyba,15:40,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Bez wyjścia,Cinema City Warszawa Arkadia,20:30,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Bez wyjścia,Cinema City Warszawa Promenada,15:10,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Bez wyjścia,Kino Muranów w Warszawie,15:15,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Bez wyjścia,Kino Muranów w Warszawie,20:30,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Bez wyjścia,Kinomuzeum w Muzeum Sztuki Nowoczesnej w Warszawie,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Bez wyjścia,Kinoteka w Warszawie,15:20,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Caravaggio: Na tropie arcydzieła,Kinokawiarnia Stacja Falenica w Warszawie,15:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Cinema City Warszawa Arkadia,14:15,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Cinema City Warszawa Galeria Mokotów,16:30,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Cinema City Warszawa Galeria Północna,21:30,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Cinema City Warszawa Promenada,15:40,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Cinema City Warszawa Sadyba,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Kino Atlantic w Warszawie,15:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Kino Iluzjon - Muzeum Sztuki Filmowej w Warszawie,21:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Kino Kultura w Warszawie,18:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Kino Luna w Warszawie,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Kinoteka w Warszawie,20:30,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Multikino Atrium Reduta w Warszawie,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Multikino Młociny,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Multikino Targówek,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Multikino Wola,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,Chronologia wody,Multikino Złote Tarasy,20:00,,,regular,2026-04-25T08:55:56.122028
2026-04-25,sobota,warszawa,David (dubbing),Cinema City Warszawa Bemowo,12:45,,dubbing,regular,2026-04-25T08:55:56.122028
