date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,10:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266945?lang=pl,2026-03-06T08:42:10.646283
2026-03-06,bielsko-biała,Szybcy i sprytni,Bielsko-Biała,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299055?lang=pl,2026-03-06T08:42:10.646313
2026-03-06,bielsko-biała,Wielka mała koza,Bielsko-Biała,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299181?lang=pl,2026-03-06T08:42:10.646328
2026-03-06,bielsko-biała,Kicia Kocia w podróży,Bielsko-Biała,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299676?lang=pl,2026-03-06T08:42:10.646340
2026-03-06,bielsko-biała,Piep*zyć Mickiewicza 3,Bielsko-Biała,10:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1308580?lang=pl,2026-03-06T08:42:10.646352
2026-03-06,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,10:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1283396?lang=pl,2026-03-06T08:42:10.646363
2026-03-06,bielsko-biała,Panna młoda!,Bielsko-Biała,10:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1297319?lang=pl,2026-03-06T08:42:10.646376
2026-03-06,bielsko-biała,Zmiennokształtni 2,Bielsko-Biała,10:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1300617?lang=pl,2026-03-06T08:42:10.646393
2026-03-06,bielsko-biała,Zwierzogród 2,Bielsko-Biała,10:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299270?lang=pl,2026-03-06T08:42:10.646408
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,11:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266932?lang=pl,2026-03-06T08:42:10.646420
2026-03-06,bielsko-biała,Kicia Kocia w podróży,Bielsko-Biała,11:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299678?lang=pl,2026-03-06T08:42:10.646430
2026-03-06,bielsko-biała,Piep*zyć Mickiewicza 3,Bielsko-Biała,12:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1300368?lang=pl,2026-03-06T08:42:10.646439
2026-03-06,bielsko-biała,Szybcy i sprytni,Bielsko-Biała,12:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299057?lang=pl,2026-03-06T08:42:10.646449
2026-03-06,bielsko-biała,Wielka mała koza,Bielsko-Biała,12:15,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299184?lang=pl,2026-03-06T08:42:10.646458
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,12:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266948?lang=pl,2026-03-06T08:42:10.646469
2026-03-06,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,12:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1283397?lang=pl,2026-03-06T08:42:10.646478
2026-03-06,bielsko-biała,Kicia Kocia w podróży,Bielsko-Biała,13:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299680?lang=pl,2026-03-06T08:42:10.646487
2026-03-06,bielsko-biała,Moon: Panda i ja,Bielsko-Biała,13:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1300623?lang=pl,2026-03-06T08:42:10.646497
2026-03-06,bielsko-biała,Zwierzogród 2,Bielsko-Biała,13:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299276?lang=pl,2026-03-06T08:42:10.646508
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,13:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266939?lang=pl,2026-03-06T08:42:10.646518
2026-03-06,bielsko-biała,Panna młoda!,Bielsko-Biała,13:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1297320?lang=pl,2026-03-06T08:42:10.646528
2026-03-06,bielsko-biała,Scarlet,Bielsko-Biała,14:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299062?lang=pl,2026-03-06T08:42:10.646539
2026-03-06,bielsko-biała,Krzyk 7,Bielsko-Biała,14:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1300373?lang=pl,2026-03-06T08:42:10.646549
2026-03-06,bielsko-biała,Wielka mała koza,Bielsko-Biała,14:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299186?lang=pl,2026-03-06T08:42:10.646580
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,14:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299684?lang=pl,2026-03-06T08:42:10.646590
2026-03-06,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,14:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1283398?lang=pl,2026-03-06T08:42:10.646599
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,15:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266949?lang=pl,2026-03-06T08:42:10.646610
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266930?lang=pl,2026-03-06T08:42:10.646620
2026-03-06,bielsko-biała,Dobry chłopiec,Bielsko-Biała,15:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299280?lang=pl,2026-03-06T08:42:10.646630
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,16:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266940?lang=pl,2026-03-06T08:42:10.646640
2026-03-06,bielsko-biała,Panna młoda!,Bielsko-Biała,16:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1297321?lang=pl,2026-03-06T08:42:10.646650
2026-03-06,bielsko-biała,Pojedynek,Bielsko-Biała,16:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299064?lang=pl,2026-03-06T08:42:10.646659
2026-03-06,bielsko-biała,Wielka mała koza,Bielsko-Biała,16:45,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1299189?lang=pl,2026-03-06T08:42:10.646668
2026-03-06,bielsko-biała,Piep*zyć Mickiewicza 3,Bielsko-Biała,16:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1300377?lang=pl,2026-03-06T08:42:10.646677
2026-03-06,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,17:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1283399?lang=pl,2026-03-06T08:42:10.646686
2026-03-06,bielsko-biała,Wichrowe wzgórza,Bielsko-Biała,17:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299759?lang=pl,2026-03-06T08:42:10.646696
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,17:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266957?lang=pl,2026-03-06T08:42:10.646706
2026-03-06,bielsko-biała,"Kopnęłabym cię, gdybym mogła",Bielsko-Biała,18:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1300635?lang=pl,2026-03-06T08:42:10.646716
2026-03-06,bielsko-biała,Dobry chłopiec,Bielsko-Biała,18:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299284?lang=pl,2026-03-06T08:42:10.646726
2026-03-06,bielsko-biała,Hopnięci,Bielsko-Biała,18:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1266941?lang=pl,2026-03-06T08:42:10.646735
2026-03-06,bielsko-biała,F1,Bielsko-Biała,19:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1282920?lang=pl,2026-03-06T08:42:10.646744
2026-03-06,bielsko-biała,Wartość sentymentalna,Bielsko-Biała,19:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299192?lang=pl,2026-03-06T08:42:10.646755
2026-03-06,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,19:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1283400?lang=pl,2026-03-06T08:42:10.646763
2026-03-06,bielsko-biała,Panna młoda!,Bielsko-Biała,19:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1297322?lang=pl,2026-03-06T08:42:10.646773
2026-03-06,bielsko-biała,EPiC: Elvis Presley in Concert,Bielsko-Biała,19:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1299066?lang=pl,2026-03-06T08:42:10.646783
